daño,Predicción
atras hay tres postes de energia y no hay energia esta oscuras atras del edificio,ejecutar
las luces de los postes de las calles y 14,ejecutar
hola,ejecutar
los cables estan demaciado bajos,ejecutar
el cable quedo muy templado  y  el tubo do de entra el cable quedo caido se necesita  destemplar el cable del poster para acomodar,cancelar
sin luz dos casas,ejecutar
en el transcurso del dia se ha visto una variacion en el voltaje que a afectado varios electrodomesticos y los ha danado,ejecutar
vereda sin energia desde hace 15 dias,cancelar
empty,ejecutar
no tenemos luz,ejecutar
de rompio el cable gris  q conecta al modem,ejecutar
totalmente sin internet,cancelar
es en la cuadra no tiene energia las lamparas,ejecutar
no hay alumbrado publico,cancelar
no hay luz,cancelar
cable colgando con posibilidad que otro vehiculo termino llevando el cableado,ejecutar
dano medidor,cancelar
si energia el sector,ejecutar
es lampara prende a ratos,ejecutar
alto consumo de los dos ultimos meses,cancelar
variaciones de voltaje,cancelar
no ahi energia,ejecutar
cable de entrada no existe,cancelar
no hay luz en toda la cuadra,ejecutar
todo el sector sin energia una manzana completa,cancelar
sector sin servicio de energia,cancelar
dano en la caja de contador,ejecutar
el viento la desplazo dejando sin energia el lugar,ejecutar
luminarias sin energia al rededor del sector las cuales dejan vulnerables a los habitantes para hurtos y violencia en general,ejecutar
bajo voltaje,cancelar
no se la verdad,ejecutar
hace una semana paso ,cancelar
no tengo luz en la casa,ejecutar
intermitencia de energia va y vuelve,cancelar
el medidor esta danado,cancelar
los bombillos parpadean cuando se encienden,ejecutar
no hay servicio desde hace 3 dias,cancelar
cable de energia caido en la calle expuesto a electrocucion,ejecutar
linea caida,ejecutar
un apagon y las tomas y algunos bombillos sin energia,ejecutar
explicame brevemente el tipo de falla que presentan,ejecutar
no tengo energia por dano en el cable exterior,ejecutar
el voltaje es muy bajito,ejecutar
esta presentandose alta carga de energia lo que puede danar los electrodomesticos,cancelar
se dana no lo tengo,ejecutar
estoy sin internet estando al dia con el pago,cancelar
2 lamparas del alumbrado publico no funcionan,cancelar
voltaje a incrementado cada mes el doble,ejecutar
el consumo llega mas de lo usado,cancelar
la iluminacion de los postes del alumbrado publico prenden y apagan constantemente,cancelar
cables  colgantes,ejecutar
sin energia cable roto,ejecutar
el poste frente a la direccion mencionada se encuentra sin energia,cancelar
robo de cable y estamos sin energia,ejecutar
dano de la linea,ejecutar
muestra muchas variaciones,ejecutar
unas guaduas caidas en las cuerdas principales,ejecutar
baja tension no llega suficiente voltaje al predio cerca al crucero via vereda san pablo,ejecutar
el consumo reportado en la factura es exagerado,cancelar
me llego un cobro excesivo para el consumo,ejecutar
no tenemos luz,ejecutar
sin energias en algunas areas de la casa,ejecutar
baja y sube el voltaje,ejecutar
se apagan y se prenden los electrodomesticos cada 5 minutos,ejecutar
farolas estan sin energia 3 postes danados,ejecutar
contador fuera de servicio,cancelar
un carro hizo caer varios cable de alta tension de un poste en la calle,ejecutar
bajones de energia,ejecutar
se fue la luz,ejecutar
variacion de voltaje y cambio de acometida ya que estan trabajando en el sector,cancelar
esta la luz muy baja,cancelar
cayo un rayo y la linea  esta en el piso,ejecutar
linea que va al poste reventado,ejecutar
la bombilla no funciona,cancelar
se revento la cuerda de energia del poste al edificio,cancelar
incendio en transformador,ejecutar
no llega energia a la casa muy deficiente se va y vuelve,cancelar
variacion de voltaje,cancelar
no esta marcando el consumo en el contador,ejecutar
me llego casi el doble de cobro en el servicio,ejecutar
tengo dervicio de internet con celsia y esta reventando el cable,cancelar
velas caidas,ejecutar
bajon de luz a cada rato,ejecutar
poste echa chispas con ruido fuerte y no alumbran las bombillas,cancelar
empty,ejecutar
se prende y apaga mucho la lampara del poste en esta direccion sobre la calle 26 b2,cancelar
estoy sin luz,cancelar
1 huella a mano derecha subiendo,ejecutar
se subio la energia,cancelar
se fue la energia por quema del contador,ejecutar
medidor danado hay variacion estando desocupado,cancelar
cable reventado,cancelar
exploto el contador de mi casa y ya lo he reportado varias veces y nada q vienen por favor,ejecutar
se revento la cuerda de energia del poste al edificio,cancelar
se va la energia en toda la casa despues de conectar la bomba de sacar agua,ejecutar
variacion en voltaje,cancelar
variacion de voltaje,cancelar
suena muy fuerte el transformador,ejecutar
el contador esta apagado y no tengo servicio de energia en mi casa,ejecutar
intermitencia en el alumbrado,cancelar
variacion de voltaje,cancelar
empty,ejecutar
no tenemos luz en la calle,ejecutar
el recibo llega muy alto solo hay un televisor y dos bombillos vive solo una persona  el consumo cada vez es mas alto,ejecutar
energia no constante y los bombillos estan encendidos a medias,ejecutar
el aire acondicionado funciona a 220voltios y no esta prendiendo,ejecutar
me estan cobrando mucho los ultimos 6 meses,ejecutar
no hay energia,ejecutar
cambiaron un poste y la luz no es estable en mi casa,ejecutar
paso un tren canero y revento las cuerdas cuando danos en los contadores,ejecutar
el consumo reportado en la factura es exagerado,cancelar
no hay luz,cancelar
la cuadrilla de ustedes bajo la acometida atrevidamente,cancelar
esta presentandose alta carga de energia lo que puede danar los electrodomesticos,cancelar
la linea de energia que conecta del poste a la casa,ejecutar
empty,ejecutar
apenas conectamos la nevera se baja la energia de toda la casa,ejecutar
hubo un dano de el transformador afuera en la calle y despues que vinieron a solucionar,ejecutar
el contador  danado,ejecutar
ya habia reportado,cancelar
necesitamos reparacion de lampara del sector,cancelar
variacion de voltaje,cancelar
es en el contador,ejecutar
no hay energia desde hace mas de una hora,ejecutar
todo el sector con bajones de energia,ejecutar
4 veces variacion de voltaje,ejecutar
los costos son muy caros,ejecutar
fase averiada,ejecutar
no tengo servicio,ejecutar
sube y baja la energia,cancelar
bajo voltaje dentro de mi casa y los bombillos intermitentes,cancelar
sin energia en toda la calle 33 a con 15,ejecutar
no hay luz,cancelar
estamos sin energia y hay un corto,ejecutar
caida del cable que va del poste al contador de la casa hace ya 3 dias,cancelar
no prende una zona de la casa,cancelar
variacion de voltaje,cancelar
no es un corto porque los breaks no se han disparado yo creo que es un cable que esta medio mochado,ejecutar
no hay energia,ejecutar
poste con foco danado,ejecutar
el voltaje ,ejecutar
se se calienta demasiado la caja  becquer donde conecta el contador,ejecutar
anche intento de robo linea descolgada,ejecutar
no esta funcionando la lampara de la calle desde el lunes,cancelar
al respaldo,cancelar
variacion el voltaje,ejecutar
el contador no sirve estamos sin luz hace 5 dias,cancelar
hay 2 bombillos del alumbrado publico que se apagan y prenden todo el tiempo,cancelar
somos un edificio de 6 apartamentos sin servicio,ejecutar
corto en cuerdas electricas y malla posiblemente con electricidad del polideportivo y hay ninos en el sector,ejecutar
sin energia toda la verdad,ejecutar
se estan presentando constantes fluctuaciones de voltaje,ejecutar
linea abierta en el poste,cancelar
sin servicio,cancelar
sin energia peligro,ejecutar
se descogo la linea que va del poste a la casa y deproto un vehiculo la revienta por que esta muy bajita,cancelar
linea reventada,ejecutar
se revento el cable de la acometida,cancelar
bombillos y tv si,ejecutar
la falla es en postes,ejecutar
chispas en la caja,cancelar
buenas noches,ejecutar
me llego muy caro el recibo de la luz,ejecutar
cables de la calle caidos,ejecutar
requiero dar de baja a 3 contadores y revision de la acometida o la caja donde se encuentran los cables,cancelar
el recibo llega muy alto solo hay un televisor y dos bombillos vive solo una persona  el consumo cada vez es mas alto,ejecutar
lo despegamos para hacer una pared nueva en la casa,ejecutar
dano que hizo el carro de la basura al contador de la energia,ejecutar
el voltaje varia y no deja funcionar los electrodomesticos,ejecutar
mi predio tiene variacion en el voltaje,ejecutar
fluctuacion de voltaje en el sector quedando por minutos sin fluido electrico,ejecutar
no enciende ninguna de las lamparas estamos a oscuras,cancelar
varios postes sin luz y muchos drogadictos aprovechan la oscuridad para fumar bajo los arboles,cancelar
muy alto y bajo el voltaje ya me quemo una unidad y requiero urgente que revisen ese voltaje por que me puede quemar las otras unidades de la never,cancelar
85,"Entrada inválida. Por favor, ingrese un texto coherente."
no enciende la luz del poste y estamos a oscuras en la calle,ejecutar
viene de llamada anterior 355619506 asociada al incidente 145257093 dano en red secundaria salida del trafo,ejecutar
problema en el contador,ejecutar
esta la luz muy baja,cancelar
la energia va y viene en repetidas ocasiones,ejecutar
oscilacion de voltaje linea de baja tension descolgada,ejecutar
y se va la energia y vuelve pero muy bajo,ejecutar
la acometida que lleva la energia hacia mi casa una rama de un arbol cayo y la descolgo,cancelar
la luminaria de la calle no funciona desde el lunes,cancelar
el dia de ayer quede sin energia en toda la vivienda,cancelar
un ave se estrello provoco corto,ejecutar
el wifi no funciona,cancelar
bajon de luz desde el viernes y el sabado se fue de una vez,cancelar
trato con line inactiva y ap sin energia,ejecutar
cable reventado,cancelar
no tengo energia,cancelar
falla en el contador,ejecutar
no tengo energia electrica en la casa,cancelar
bombilla fundida en poste,cancelar
no hay servicio solo en mi casa,ejecutar
no funcionan los equipos baja la energia,cancelar
variacion de voltage y alto consumo en el servicio se requiere una inspeccion y verificar si el medidor se encuentra en buen estado,cancelar
cuerda caida rota,ejecutar
un tercero se esta conectando a mi red,ejecutar
lampara del alumbrado publico danada,cancelar
se quemo el cable q sale de las cuerdas principales al contador,cancelar
sin energia,cancelar
arrojaron una piedra contra el el contador y  le quebraron la proteccion,ejecutar
las luces de los postes de las calles y 14,ejecutar
lampara fundida,cancelar
el recibo llega muy costoso,cancelar
los cables estan flojos y al,ejecutar
dano contador,ejecutar
paso un carro y revento la linea y esta generando peligro,ejecutar
las casas presentan voltaje en variacion,ejecutar
me llego mi recibo del mes de mayo en ceros quiero saber el porque,ejecutar
carro revienta cuerda y el transformador esta haciendo corto y el predio esta sin energia,ejecutar
presunto robo de contador frustrado,ejecutar
incendio en transformador,ejecutar
mi consumo anterior mente era de 20,ejecutar
hay dos lamparas que no prenden,cancelar
los bombillos estan titilando intermitente,ejecutar
no hay alumbrado publico en 2 manzanas,cancelar
sin corriente electrica,ejecutar
tengo facturacion excesiva y ya viven menos personas en casa,cancelar
no esta marcando consumo,cancelar
sector hace dos meses con fluctuacion de energia ya hicieron revisiones internas no es interno,cancelar
no hay alumbrado publico hace un par de semanas,cancelar
es estrato 2 y me llega el valor de la factura por ,ejecutar
desde ayer en la tarde el voltaje de energia sube y baja,ejecutar
luminarias sin alimentacion de energia 220,ejecutar
corto por arboles,ejecutar
caida poste,cancelar
un camion revento el cable del internet celsia,cancelar
es falla de internet,cancelar
desprendimiento cable del poste por borrasca,ejecutar
se revento el cable de alta tension y esta en el suelo,ejecutar
el cable pasa por la sala del vecino,ejecutar
1 huella a mano derecha subiendo,ejecutar
variacion de voltaje,cancelar
un ave se estrello provoco corto,ejecutar
bajo voltaje en el sector donde se encuentran ubicados los paneles solares de la institucion,ejecutar
muestra muchas variaciones,ejecutar
muestra que tengo consumo de energia en una casa que esta desocupada,ejecutar
sin internet,cancelar
sin luz,cancelar
hay que hacer revision de la red porque ha quemado el contador,ejecutar
se dano la luz del poste,ejecutar
no hay energia,ejecutar
